file_name,transcription
drug-male-0b01f9d4-980d-451f-a8f1-18e899158859.wav,Iron calx is a commonly used medicine to treat iron deficiency anemia.
drug-male-d58aac86-05d3-40ea-a61d-e1cbb7f3e790.wav,"If you experience nausea or vomiting, DOMPAR may help alleviate your symptoms."
drug-female-06c23421-e597-4cf4-a912-1d44c187a4f3.wav,AGROBEN-I is a reliable medicine for treating infections in plants.
drug-male-9300288f-77c3-4c42-a0f6-166877f7f965.wav,Make sure to follow your healthcare provider's instructions carefully while taking FEVIBID for optimal results.
drug-female-86945722-12e1-4983-bf51-6aa27b196dc9.wav,Clinical trials have shown favorable results with maralixibat chloride in pediatric patients.
drug-female-572427ce-eab4-44ac-ac72-9c3a21fc9d0a.wav,Bezafibrate is commonly prescribed to help lower high levels of cholesterol and triglycerides.
drug-male-939416b2-9fac-4f9a-9a08-4bfe678fac2a.wav,AVICOF-X is known for its effectiveness in treating persistent coughs.
drug-male-88289ec1-d3c8-4f66-9cfd-2293fb5c3eb7.wav,Individuals who experience persistent feelings of unease or fear may benefit from ALZOPAX.
drug-male-acb8db37-0f7d-45ae-8825-da2e0b30e150.wav,Make sure to follow the prescribed dosage and course duration when taking RIMOX-CP for optimal results.
drug-female-58fe60b3-4aa3-4916-b316-2e280624097f.wav,Mucopolysaccharide polysulphate is often used in veterinary medicine to help alleviate joint pain and inflammation in animals.
drug-female-d092353c-7386-4072-a3ce-e1013e1cca58.wav,Methylene blue is commonly used in medicine as a dye and an antiseptic agent.
drug-male-1e26d43e-bb41-4ef2-9f1d-c98d52b8bce8.wav,Atropine sulphate is commonly used to treat symptomatic bradycardia and as a preoperative medication to reduce salivation and respiratory secretions.
drug-female-cd2907ee-1abd-4996-9f52-a67abcee7187.wav,NOMKOF-B NF can provide relief from various respiratory symptoms.
drug-male-f4ebfb1f-a82b-4101-af7e-a67a1f026c47.wav,Taking T-NEX as prescribed can help improve your quality of life.
drug-brand-en-us-female-798da376-ae7e-47fe-8f18-f4deaf0b868a.wav, Rheovit may be prescribed by a doctor to alleviate symptoms of poor blood flow.
drug-female-b2909870-4d1d-4bb1-a665-de6a217fcbb3.wav,"If you experience dryness and irritation in your eyes, consider trying a product containing carboxymethylcellulose."
drug-female-f35b459e-61b9-4211-843b-7c6904d0da00.wav,Make sure to take MEPROSOL with a full glass of water and follow the dosage instructions provided by your healthcare provider.
drug-female-98c1d157-47cc-43aa-9d37-c98b9eaf2b3c.wav,Don't forget to take your LABOPENE-C medication at the prescribed times for optimal effectiveness.
drug-brand-en-us-female-6c816d1b-de4f-49be-b6cd-7ad6585edb67.wav, Neuroforte is a popular choice for enhancing memory and concentration.
drug-female-a3810326-d145-439c-8a25-f83c725360a9.wav,It is important to follow the dosage instructions for clemastine fumarate to ensure its effectiveness and minimize potential side effects.
